endTime,artistName,trackName,msPlayed
2023-10-15 12:07,Mel Brooks,Haben Sie gehört das Deutsche band?,1470
2023-10-15 12:07,Christy Altomare,Journey to the Past,1030
2023-10-15 12:08,Aaron Tveit,El Tango De Roxanne,37190
2023-10-15 12:10,James Horner,"Climbing up ""Iknimaya - The Path to Heaven""",152680
2023-10-15 12:11,James Horner,"Climbing up ""Iknimaya - The Path to Heaven""",16100
2023-10-15 12:17,Hans Zimmer,Run Free,374160
2023-10-15 12:17,James Newton Howard,"Epilogue - Dinosaur - From ""Dinosaur""/Score",2300
2023-10-15 12:17,Audiomachine,Hope and Glory,1210
2023-10-15 12:17,Thomas Bergersen,Heart of Courage,1130
2023-10-15 12:17,Veigar Margeirsson,Inner Strength,3540
2023-10-15 12:17,Ramin Djawadi,The Winds of Winter,3280
2023-10-15 12:18,E.S. Posthumus,Cuzco,2710
2023-10-15 12:18,Nobuo Uematsu,Liberi Fatali (Final Fantasy VIII),4360
2023-10-15 12:18,Steve Jablonsky,Infinite White,3680
2023-10-15 12:18,John Williams,Duel of the Fates,1270
2023-10-15 12:22,E.S. Posthumus,Cuzco,1630
2023-10-15 12:22,John Williams,Duel of the Fates,233970
2023-10-15 12:25,Ramin Djawadi,Shall We Begin?,184040
2023-10-15 12:25,John Williams,Call of the Champions (The Official Theme of the 2002 Olympic Winter Games) - Voice,3510
2023-10-15 12:25,Ramin Djawadi,Mhysa,1610
2023-10-15 12:25,Steve Jablonsky,Prime,1180
2023-10-15 12:25,Hans Zimmer,Homeland,1780
2023-10-15 12:25,Soundcritters,The Heaven Above,2180
2023-10-15 12:26,Ramin Djawadi,Blood of the Dragon,93106
2023-10-15 12:27,Hans Zimmer,Woad To Ruin,1790
2023-10-15 12:27,Ramin Djawadi,Dance of Dragons,1120
2023-10-15 12:27,Steve Jablonsky,"I Rise, You Fall",820
2023-10-15 12:27,Vangelis,Across the Mountains,940
2023-10-15 12:27,Tyler Bates,Returns a King - Based Upon Themes by Elliot Goldenthal,1220
2023-10-15 12:27,John Williams,Battle of the Heroes,1370
2023-10-15 12:27,Steve Jablonsky,Arrival to Earth,840
2023-10-15 12:27,Ramin Djawadi,Reign,840
2023-10-15 12:27,Audiomachine,Sol Invictus,2610
2023-10-15 12:27,Ramin Djawadi,"Spoils of War, Pt. 1",2910
2023-10-15 12:27,Audiomachine,Guardians At the Gate,490
2023-10-15 12:27,Vangelis,Dream of Babylon,41513
2023-10-15 12:29,Vangelis,Across the Mountains,4020
2023-10-15 12:29,Ramin Djawadi,Blood of My Blood,72410
2023-10-15 12:32,Ramin Djawadi,Blood of My Blood,215261
2023-10-15 12:35,Hans Zimmer,Chevaliers De Sangreal - From The Da Vinci Code Original Motion Picture Soundtrack,160398
2023-10-16 11:28,Troye Sivan,One Of Your Girls,87640
2023-10-16 11:29,Mel Brooks,Opening Night,106400
2023-10-16 11:32,Aaron Tveit,Live in Living Color,1800
2023-10-16 11:32,Cast Of Rent,Seasons of Love - From the Motion Picture RENT,132350
2023-10-16 11:32,André De Shields,Wait for Me,1300
2023-10-16 11:36,Annaleigh Ashford,The History of Wrong Guys,228093
2023-10-16 11:39,Mel Brooks,'Til Him,190026
2023-10-16 11:43,Hedwig And The Angry Inch - Original Broadway Cast,Wig In A Box,232150
2023-10-16 11:45,Barrett Wilbert Weed,I'd Rather Be Me,170639
2023-10-16 11:52,Stephen Schwartz,"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003",2400
2023-10-16 11:52,Christy Altomare,In My Dreams,980
2023-10-16 11:52,Stephen Schwartz,"No Good Deed - From ""Wicked"" Original Broadway Cast Recording/2003",1670
2023-10-16 11:52,Derek Klena,In a Crowd of Thousands,870
2023-10-16 11:52,Andrew Rannells,Tomorrow Is a Latter Day,414600
2023-10-16 11:54,Stephen Schwartz,"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003",610
2023-10-16 11:54,Elijah Kelley,Without Love,1060
2023-10-16 11:54,Stephen Schwartz,"Popular - From ""Wicked"" Original Broadway Cast Recording/2003",840
2023-10-16 11:54,Stephen Schwartz,"No Good Deed - From ""Wicked"" Original Broadway Cast Recording/2003",70870
2023-10-16 11:54,André De Shields,Wait for Me (Reprise),1200
2023-10-16 13:39,Hugh Jackman,The Greatest Show,274090
2023-10-16 13:42,LÉON,Pretty Boy,160480
2023-10-16 13:45,Troye Sivan,In My Room,648
2023-10-16 13:45,Troye Sivan,One Of Your Girls,181481
2023-10-16 13:48,Troye Sivan,Silly,3971
2023-10-16 13:48,Troye Sivan,Got Me Started,198448
2023-10-16 13:51,Troye Sivan,One Of Your Girls,181481
2023-10-16 13:53,Troye Sivan,In My Room,9468
2023-10-16 13:56,Troye Sivan,Still Got It,208551
2023-10-16 13:57,Troye Sivan,Got Me Started,1200
2023-10-16 13:57,Troye Sivan,"Can't Go Back, Baby",10468
